,coef,se,pvalue
C(parity)[T.2],0.12062713941699972,0.002014860493877638,0.0
C(parity)[T.3],0.21885829498415335,0.002351166835209447,0.0
C(parity)[T.4],0.2983121819275989,0.0027990414189716507,0.0
C(parity)[T.5],0.38332310689372967,0.00352045182463439,0.0
C(parity)[T.6],0.4292175924702389,0.004784107844970175,0.0
C(parity)[T.7],0.4822668503945343,0.007303560715892978,0.0
C(parity)[T.8],0.5220056128727862,0.014199994510737085,7.76524373419881e-296
C(parity)[T.9],0.5485819572231831,0.05771165116234509,1.9896145275560582e-21
DIM_z,0.1382390542213759,0.000743504656106123,0.0
Group Var,,,0.0
Intercept,1.7640752505333968,0.003017512471514648,0.0
sfa_z,0.0009154271745233383,0.0013032437805425062,0.48241599503761534
ufa_z,0.00933194653905896,0.0011795798133411187,2.5482462181440436e-15
